 1 .32
 1 .42
 1 .20
 1 .40
 1 .38
 1 .40
 1 .22
 1 .10
 1 .38
 1 .72
 1 .26
 1 .30
 1 .64
 1 .70
 1 .36
 1 .62
 1 .54
 1 .60
 1 .26
 1 .08
 1 .76
 1 .22
 1 .06
 1 .08
 1 .56
 2 .26
 2 .74
 2 .70
 2 .48
 2 .46
 2 .72
 2 .66
 2 .56
 2 .72
 2 .78
 2 .74
 2 .84
 2 .24
 2 .68
 2 .14
 2 .78
 2 .16
 2 .30
 2 .70
 2 .80
 2 .36
 2 .58
 2 .72
 2 .82
 2 .48
 3 .93
 3 .35
 3 .75
 3 .55
 3 .67
 3 .49
 3 .67
 3 .39
 3 .39
 3 .43
 3 .59
 3 .97
 3 .45
 3 .55
 3 .33
 3 .25
 3 .49
 3 .79
 3 .47
 3 .19
 3 .89
 3 .65
 3 .93
 3 .81
 3 .95
