8  9
5  3
7  6
10  11
8  6
13  10
12  10
6  9
10  16
6  6
8  9
1  1
6  6
8  9
12  17
7  6
10  7
7  5
5  3
8  5
5  4
5  4
8  8
3  5
8  8
5  4
6  6
9  7
2  1
9  10
11  15
11  10
10  7
10  9
12  12
7  8
1  6
2  0
7  4
7  4
9  10
6  5
9  10
3  3
7  11
8  5
9  10
7  9
12  13
7  9
8  8
7  8
9  13
9  10
6  6
5  3
7  9
10  13
9  9
9  11
0  4
0  1
10  12
4  1
7  7
3  5
6  8
2  1
5  5
8  9
9  10
1  0
5  2
1  2
8  8
6  3
5  5
12  7
9  8
4  3
3  2
5  8
8  9
7  7
9  9
9  9
6  7
8  7
10  8
8  8
4  2
10  9
8  4
9  8
5  6
5  3
8  9
4  3
3  1
5  7
