22 45 18 34 15 54 16 32 13 34
20 51 9 38 18 43 13 37 9 34
33 38 14 36 13 33 16 14 6 35
31 50 15 43 11 44 15 27 14 36
31 57 12 36 13 42 13 15 15 47
23 51 18 45 15 45 16 25 10 42
24 54 13 33 14 53 16 28 12 37
28 34 13 36 18 51 16 17 7 37
27 42 11 37 15 50 15 29 13 34
18 57 8 31 17 38 17 26 13 43
17 44 5 43 16 52 13 16 9 34
15 55 18 37 17 54 18 26 17 28
29 46 9 41 15 43 14 27 8 27
24 49 10 31 17 57 14 27 11 35
21 53 13 33 13 43 17 28 14 38
33 41 10 31 12 44 14 32 15 34
29 44 12 41 13 59 14 33 15 40
23 51 16 37 12 37 17 19 8 47
35 43 10 33 18 55 19 20 13 31
24 53 13 40 12 46 12 26 10 36
24 59 12 39 16 65 13 24 14 30
30 67 11 42 15 52 12 19 7 42
13 44 12 34 17 53 12 20 17 44
21 49 12 38 19 40 13 34 11 42
29 49 12 32 15 42 14 21 13 38
27 50 9 32 16 53 17 32 11 34
33 28 13 36 14 47 20 20 17 34
33 53 12 29 15 67 14 21 15 43
14 48 8 52 17 39 16 25 13 37
19 33 14 42 13 41 14 31 11 36
