100 26 
74 24 
90 27 
121 37 
101 28 
137 33 
132 31 
83 38 
125 46 
86 30 
107 37 
81 26 
87 28 
109 31 
133 48 
92 26 
124 28 
96 27 
75 19 
108 32 
78 21 
80 24 
107 34 
84 31 
109 40 
79 23 
83 31 
112 26 
83 30 
118 38 
130 44 
127 36 
125 33 
125 32 
132 39 
90 29 
123 45 
77 19 
92 19 
97 22 
115 34 
80 22 
114 36 
65 23 
96 43 
103 23 
118 36 
97 28 
135 45 
92 32 
100 33 
93 37 
111 38 
112 40 
89 25 
75 26 
91 37 
126 41 
119 33 
110 38 
60 14 
121 32 
123 43 
72 22 
96 34 
65 27 
87 31 
62 25 
75 23 
105 39 
111 35 
61 21 
72 20 
124 35 
100 31 
81 23 
76 25 
133 26 
112 29 
70 23 
66 20 
74 29 
109 35 
97 35 
115 36 
111 33 
82 28 
102 26 
126 36 
109 34 
70 22 
125 34 
103 26 
111 26 
74 26 
74 23 
102 34 
68 17 
65 17 
72 32 
