  50  74
  41  75
  48  61
  57  62
  50  76
  68  58
  63  64
  45  67
  58  63
  46  78
  52  55
  29  67
  47  76
  52  68
  63  63
  48  75
  58  67
  49  56
  42  81
  52  61
  43  63
  44  67
  52  69
  34  80
  53  71
  44  64
  45  76
  54  67
  33  75
  56  63
  62  64
  60  63
  59  61
  58  64
  63  56
  47  61
  30  80
  32  61
  48  71
  38  62
  55  70
  44  74
  54  73
  35  77
  37  76
  51  82
  56  67
  50  64
  66  68
  48  69
  50  70
  39  72
  53  69
  54  74
  47  55
  42  86
  48  70
  59  54
  56  61
  53  75
  27  70
  26  67
  58  59
  40  69
  49  78
