 0 77
 0 64
 0 72
 0 88
 0 75
 0 57
 0 88
 0 78
 0 71
 0 70
 0 63
 0 61
 0 91
 0 84
 0 67
 .5 69
 .5 68
 .5 61
 .5 74
 .5 54
 .5 70
 .5 67
 .5 58
 .5 56
 .5 83
 .5 75
 .5 71
 .5 71
 .5 76
 .5 73
 1.0 63
 1.0 69
 1.0 66
 1.0 85
 1.0 43
 1.0 63
 1.0 62
 1.0 55
 1.0 63
 1.0 71
 1.0 82
 1.0 70
 1.0 73
 1.0 53
 1.0 77
 2.0 77
 2.0 48
 2.0 55
 2.0 43
 2.0 47
 2.0 63
 2.0 47
 2.0 48
 2.0 34
 2.0 68
 2.0 42
 2.0 44
 2.0 70
 2.0 21
 2.0 50
 3.0 23
 3.0 32
 3.0 40
 3.0 39
 3.0 51
 3.0 44
 3.0 27
 3.0 32
 3.0 40
 3.0 44
 3.0 26
 3.0 61
 3.0 38
 3.0 60
 3.0 53
