1 1 14 
1 1 11 
1 1 13 
1 1 16 
1 1 14 
1 1 19 
1 1 18 
1 1 12 
1 1 16 
1 1 12 
1 1 14 
1 1 7 
1 1 12 
1 1 14 
1 1 18 
1 1 13 
1 1 16 
1 2 17 
1 2 17 
1 2 12 
1 2 18 
1 2 18 
1 2 15 
1 2 19 
1 2 15 
1 2 21 
1 2 16 
1 2 15 
1 2 15 
1 2 14 
1 2 14 
1 2 18 
1 2 13 
1 2 16 
2 1 12 
2 1 12 
2 1 15 
2 1 12 
2 1 20 
2 1 11 
2 1 12 
2 1 11 
2 1 15 
2 1 16 
2 1 18 
2 1 16 
2 1 13 
2 1 12 
2 1 13 
2 1 6 
2 1 16 
2 2 21 
2 2 16 
2 2 10 
2 2 13 
2 2 19 
2 2 12 
2 2 11 
2 2 10 
2 2 14 
2 2 19 
2 2 19 
2 2 16 
2 2 14 
2 2 17 
2 2 20 
2 2 14 
2 2 13 
3 1 5 
3 1 6 
3 1 10 
3 1 8 
3 1 2 
3 1 11 
3 1 10 
3 1 6 
3 1 8 
3 1 12 
3 1 9 
3 1 4 
3 1 12 
3 1 10 
3 1 8 
3 1 8 
3 1 6 
3 2 14 
3 2 13 
3 2 9 
3 2 13 
3 2 5 
3 2 11 
3 2 12 
3 2 14 
3 2 10 
3 2 14 
3 2 9 
3 2 10 
3 2 7 
3 2 7 
3 2 11 
3 2 7 
3 2 10 
