1 30 28 
1 35 27 
1 34 29 
1 37 40 
1 26 27 
1 31 32 
1 27 32 
1 37 33 
1 27 26 
1 19 31 
1 38 27 
1 35 32 
1 27 29 
1 35 33 
1 35 37 
1 23 29 
1 30 31 
1 17 33 
1 39 27 
1 32 33 
1 42 28 
1 31 21 
1 24 34 
1 29 36 
1 37 38 
1 27 24 
1 27 33 
1 22 33 
1 38 35 
1 25 33 
1 39 28 
1 36 28 
1 32 22 
1 9 24 
1 37 38 
1 30 28 
1 33 30 
1 35 34 
1 36 31 
1 28 24 
1 20 33 
1 28 30 
1 30 35 
1 26 30 
1 31 23 
1 31 27 
1 33 33 
1 28 25 
1 30 20 
1 30 32 
1 29 33 
1 33 18 
1 30 22 
1 39 39 
1 33 25 
1 34 32 
1 29 31 
1 19 22 
1 33 34 
1 36 27 
1 23 36 
1 17 26 
1 32 27 
1 38 33 
1 39 33 
1 22 28 
1 13 17 
1 29 30 
1 31 23 
1 34 24 
1 33 30 
1 32 21 
1 32 19 
1 35 33 
1 39 21 
1 29 28 
1 35 36 
1 32 30 
1 26 26 
1 30 32 
1 29 33 
1 30 23 
1 28 26 
1 31 28 
1 31 33 
1 34 33 
1 22 28 
1 40 31 
1 25 33 
1 32 28 
1 29 27 
1 22 23 
1 39 36 
1 33 27 
1 30 33 
1 31 36 
1 38 26 
1 36 26 
1 33 30 
1 45 38 
2 82 75 
2 85 77 
2 88 65 
2 80 64 
2 85 77 
2 83 66 
2 93 69 
2 79 68 
2 92 69 
2 82 68 
2 91 71 
2 83 70 
2 79 66 
2 80 67 
2 94 60 
2 72 63 
2 93 76 
2 84 77 
2 94 67 
2 87 75 
2 95 65 
2 101 69 
2 81 64 
2 76 67 
2 87 67 
2 98 69 
2 80 74 
2 81 65 
2 79 66 
2 77 71 
2 82 63 
2 86 67 
2 94 70 
2 85 68 
2 82 65 
2 75 72 
2 86 66 
2 92 78 
2 81 64 
2 92 68 
2 81 66 
2 84 75 
2 89 67 
2 91 67 
2 85 69 
2 91 69 
2 86 66 
2 84 70 
2 83 70 
2 80 62 
2 77 68 
2 86 70 
2 81 67 
2 92 74 
2 84 72 
2 90 73 
2 86 69 
2 91 67 
2 83 58 
2 79 63 
2 82 69 
2 82 67 
2 84 61 
2 89 83 
2 84 67 
2 89 67 
2 95 66 
2 87 67 
2 87 66 
2 81 62 
2 79 65 
2 96 71 
2 82 70 
2 78 69 
2 88 76 
2 98 80 
2 85 64 
2 94 65 
2 85 61 
2 73 65 
2 80 72 
2 87 75 
2 83 58 
2 84 63 
2 86 61 
2 93 79 
2 75 64 
2 79 72 
2 86 62 
2 89 71 
2 87 64 
2 85 72 
2 91 72 
2 93 81 
2 79 63 
2 79 60 
2 94 69 
2 89 76 
2 76 67 
2 81 62 
