1 .75
1 .71
1 .34
1 .54
1 .51
1 .67
1 .57
1 .93
1 .95
1 .63
1 .63
1 .55
1 .40
1 .28
1 .82
1 .54
1 .83
1 .49
1 .52
1 .89
1 .72
1 .62
1 .36
1 .61
1 .43
1 .79
1 .88
1 .59
1 .66
1 .34
1 .78
1 .61
1 .56
1 .53
1 .57
1 .69
1 .48
1 .69
1 .33
1 .67
1 .51
1 .63
1 .27
1 .58
1 .55
1 .55
1 .58
1 .62
1 .42
1 .88
2 .76
2 .66
2 .57
2 .80
2 .93
2 .43
2 .91
2 .96
2 .85
2 .48
2 .74
2 .90
2 .85
2 .64
2 .74
2 .78
2 .98
2 .66
2 .77
2 .81
2 .88
2 .70
2 .53
2 .80
2 .83
2 .75
2 .67
2 .95
2 .81
2 .67
2 .69
2 .86
2 .86
2 .83
2 .71
2 .59
2 .87
2 .82
2 .80
2 .95
2 .45
2 .80
2 .63
2 .94
2 .75
2 .94
2 .88
2 .42
2 .78
2 .98

