30 28
35 27
34 29
37 40
26 27
31 32
27 32
37 33
27 26
19 31
38 27
35 32
27 29
35 33
35 37
23 29
30 31
17 33
39 27
32 33
42 28
31 21
24 34
29 36
37 38
27 24
27 33
22 33
38 35
25 33
39 28
36 28
32 22
9 24
37 38
30 28
33 30
35 34
36 31
28 24
20 33
28 30
30 35
26 30
31 23
31 27
33 33
28 25
30 20
30 32
31 69
34 66
29 33
33 18
30 22
39 39
33 25
34 32
29 31
19 22
33 34
36 27
23 36
17 26
32 27
38 33
39 33
22 28
13 17
29 30
31 23
34 24
33 30
32 21
32 19
35 33
39 21
29 28
35 36
32 30
26 26
30 32
29 33
30 23
28 26
31 28
31 33
34 33
22 28
40 31
25 33
32 28
29 27
22 23
39 36
33 27
30 33
31 36
38 26
36 26
33 61
28 64
33 30
45 38
