1  1  79 
1  2  66 
1  3  76 
1  4  92 
1  5  84 
1  6  98 
1  7  86 
1  8  64 
1  9  89 
1  10  82 
1  11  86 
1  12  69 
1  13  69 
1  14  86 
1  15  87 
1  16  73 
1  17  78 
1  18  78 
2  1  60 
2  2  59 
2  3  59 
2  4  76 
2  5  80 
2  6  65 
2  7  71 
2  8  43 
2  9  71 
2  10  83 
2  11  60 
2  12  74 
2  13  68 
2  14  88 
2  15  79 
2  16  70 
2  17  73 
2  18  65 
3  1  44 
3  2  34 
3  3  51 
3  4  68 
3  5  69 
3  6  61 
3  7  58 
3  8  31 
3  9  61 
3  10  66 
3  11  71 
3  12  53 
3  13  48 
3  14  61 
3  15  56 
3  16  46 
3  17  49 
3  18  59 
