       1         9 
       1         4 
       1         7 
       1         9 
       1         8 
       1        11 
       1        10 
       1        11 
       1        10 
       1         9 
       1         9 
       1         7 
       1         9 
       1         9 
       1         8 
       1         8 
       1         6 
       1         5 
       1         9 
       1         8 
       1        10 
       1         5 
       1         6 
       1         3 
       1         4 
       1         5 
       1         9 
       1         9 
       2         3 
       2         8 
       2         6 
       2         8 
       2        11 
       2         3 
       2         8 
       2         5 
       2         8 
       2         8 
       2        10 
       2        10 
       2         5 
       2         7 
       2         8 
       2         7 
       2         2 
       2         8 
       2         6 
       2         6 
       2         7 
       2         3 
       2        11 
       2         6 
       2         4 
       2         9 
       2         8 
       2         9 
