68 39 
38 26 
53 37 
56 33 
51 38 
54 31 
61 25 
52 36 
69 43 
50 29 
53 26 
48 29 
60 28 
65 40 
72 37 
63 29 
54 34 
54 30 
55 28 
34 22 
63 24 
58 31 
53 26 
55 24 
36 30 
58 31 
44 23 
57 35 
41 32 
47 36 
71 28 
47 31 
44 33 
57 35 
52 32 
58 30 
66 37 
44 19 
58 37 
51 27 
57 33 
58 37 
62 32 
63 28 
51 29 
55 30 
58 30 
66 34 
42 35 
59 25 
54 19 
40 28 
67 38 
46 23 
65 44 
34 25 
49 33 
69 41 
57 28 
61 40 
50 28 
41 20 
54 28 
43 28 
46 33 
57 29 
70 40 
38 20 
56 26 
42 30 
58 29 
42 25 
45 31 
65 33 
58 24 
46 27 
56 32 
49 23 
56 31 
55 33 
