 43   102   37   123   73   72   111   49 
 46   76   37   100   61   70   101   42 
 67   98   39   113   90   69   96   34 
 56   79   37   102   105   67   106   36 
 83   93   37   116   63   68   102   46 
 22   107   38   131   84   72   93   61 
 71   99   49   106   65   66   105   49 
 78   93   43   124   101   70   101   42 
 51   72   35   113   94   70   99   50 
 64   112   43   102   77   74   106   54 
 55   114   37   91   79   69   114   58 
 77   89   47   120   83   73   103   64 
 58   95   45   103   91   71   103   42 
 93   88   40   120   65   70   98   59 
 66   92   40   110   69   71   94   43 
 56   81   41   109   83   69   108   51 
 42   97   42   111   64   72   105   42 
 55   97   47   96   86   70   117   49 
 44   85   46   108   48   67   99   56 
 53   71   41   99   77   73   102   52 

