  1  1  4
  1  1  1
  1  1  6
  1  1  5
  1  1  4
  1  1  10
  1  1  7
  1  1  3
  1  1  2
  1  1  4
  1  1  6
  1  1  6
  1  2  7
  1  2  7
  1  2  5
  1  2  6
  1  2  8
  1  2  6
  1  2  3
  1  2  8
  1  2  6
  1  2  7
  1  2  4
  1  2  4
  2  1  10
  2  1  7
  2  1  6
  2  1  8
  2  1  8
  2  1  10
  2  1  10
  2  1  10
  2  1  9
  2  1  7
  2  1  7
  2  1  15
  2  2  15
  2  2  11
  2  2  12
  2  2  10
  2  2  10
  2  2  9
  2  2  15
  2  2  9
  2  2  6
  2  2  9
  2  2  7
  2  2  10
  3  1  8
  3  1  9
  3  1  10
  3  1  11
  3  1  13
  3  1  9
  3  1  11
  3  1  7
  3  1  11
  3  1  11
  3  1  13
  3  1  10
  3  2  9
  3  2  8
  3  2  10
  3  2  10
  3  2  14
  3  2  7
  3  2  5
  3  2  6
  3  2  10
  3  2  8
  3  2  11
  3  2  10
